train_loss,train_acc,val_loss,val_acc,lr
1.5549162039596247,0.6563507269031771,0.9733757361805119,0.7594589689461166,9.990232305719945e-05
1.0756482149391504,0.7705390003282515,0.9446313650451902,0.7647126250131342,9.960967771506666e-05
0.9933191954786671,0.793608782468922,0.9219537839344863,0.7569467661358882,9.912321891107009e-05
0.9480864136668337,0.8060719952521094,0.9416480703652176,0.7578446637182512,9.844486647586723e-05
0.9163203243432467,0.8144033769465834,0.9118960286422484,0.7652953032314761,9.757729755661011e-05
0.8928555889390857,0.8211969612747823,0.8850397386179141,0.7747805404579278,9.652393605146844e-05
0.8749677784248309,0.8263916125615942,0.8867155862868679,0.763757414819131,9.528893909706797e-05
0.8610554696115845,0.8298048643305315,0.8773294709020274,0.7689919666822684,9.387718066217124e-05
0.8487042798989235,0.8335821085035962,0.8759817308226258,0.7801679259521057,9.229423231234974e-05
0.839537879561255,0.8365730538398377,0.868783975009856,0.7772640869623361,9.054634122155989e-05
0.8299567590058888,0.8390260052350949,0.8753026804515764,0.7740450286085453,8.864040551740155e-05
0.8234250025722436,0.8409625953128689,0.866830387561302,0.7810753756364088,8.658394705735986e-05
0.8159915387805542,0.8436892464228576,0.8844104788148489,0.7722778897496394,8.438508174347008e-05
0.8098697617795048,0.8454010453259895,0.8735044731773062,0.7717907325506977,8.205248749256013e-05
0.8045292212822102,0.8472642725936292,0.8786296436788223,0.774866509375388,7.959536998847742e-05
0.7999414005721428,0.8484361964580811,0.8489142026841942,0.7848962164124216,7.702342635146032e-05
0.7934689449855337,0.8513584817284278,0.8705831944038916,0.77843899550096,7.434680686803489e-05
0.7883847051444941,0.8526827745062354,0.8465569980493695,0.7854884467327036,7.157607493247108e-05
0.7844266280850997,0.8545384773830921,0.8699445790913327,0.7767960339672745,6.872216535789155e-05
0.7808609048408549,0.8559822198645798,0.8664286718297567,0.7761846994431124,6.579634122155988e-05
0.7760358054429705,0.857534125463573,0.860015348695839,0.7811613445538691,6.28101494146603e-05
0.7720673460997339,0.8589270783072754,0.8672754845689209,0.7809416462092483,5.9775375071993364e-05
0.7683861465095553,0.8604874488458996,0.8490727771992047,0.7871791687760892,5.670399506143306e-05
0.7640219485873909,0.8623196380015594,0.8447552957944175,0.7890513807563354,5.3608130716701005e-05
0.759468942680016,0.8642853850936175,0.8446934551974468,0.7923086475178863,5.049999999999999e-05
0.7570845126688843,0.8649287205055638,0.8442840577037286,0.7892615269990161,4.7391869283298976e-05
0.7537284840783423,0.8664853288487965,0.8524519849175861,0.7889367555330551,4.429600493856693e-05
0.7495546239976377,0.8682291064127561,0.8428239119559722,0.7902262892949593,4.122462492800662e-05
0.746723148059903,0.8692712345362013,0.8447553363434991,0.7924041685372867,3.8189850585339674e-05
0.7424735082268964,0.8711071858872527,0.8521808200594012,0.7896531631785575,3.5203658778440106e-05
0.7391684992830522,0.8727324542963801,0.8423150750083751,0.7942286200078327,3.227783464210844e-05
0.7368063995636208,0.8739354162728118,0.8402670838441165,0.796110384090019,2.942392506752889e-05
0.7342482822683147,0.8746887958999595,0.8376728729999078,0.7983837843517466,2.6653193131965075e-05
0.732208371415138,0.8760196725197021,0.8412542547866393,0.7971706674053626,2.3976573648539646e-05
0.7294924381388294,0.8769762106979907,0.8456391993432923,0.7954608411580968,2.1404630011522576e-05
0.7269345595009225,0.8784500507426103,0.8472726469863697,0.7966548539006009,1.8947512507439848e-05
0.7229053625453936,0.8802860020936617,0.8365240540728688,0.801478665380317,1.66149182565299e-05
0.7221318199643233,0.8803875813692322,0.8270568394163565,0.8058726322727316,1.4416052942640132e-05
0.719557504789872,0.8812716972862344,0.827566196211492,0.8057293507436312,1.235959448259843e-05
0.7180459503680879,0.8821793269244335,0.837706978679834,0.8051371204233492,1.04536587784401e-05
0.7155325401192691,0.8830408696690867,0.833656132411954,0.8078403652723782,8.70576768765026e-06
0.7147554856369172,0.8838516227759546,0.8312544128063533,0.8073532080734366,7.122819337828748e-06
0.7143728245578017,0.8836296532478563,0.8265264062761496,0.8103621201845466,5.711060902932039e-06
0.7112933132432518,0.8852013103726548,0.8271438480476819,0.808977065403242,4.476063948531556e-06
0.7112271662315934,0.8850639902408651,0.8423291042248244,0.8036852009284643,3.4227024433898985e-06
0.7110002357644578,0.885192845433024,0.8317845550288199,0.8076779795393977,2.555133524132766e-06
0.7100802700752658,0.8856847524804624,0.8316677730396311,0.8093878057866634,1.8767810889299075e-06
0.7106795462109187,0.8854232799007533,0.8291807211747279,0.8093113889711431,1.3903222849333503e-06
0.7092074516789274,0.8861710162348136,0.831951352583862,0.8080027510053587,1.0976769428005576e-06
0.7079450809603052,0.8861409186716817,0.8339401451014515,0.8078403652723782,1e-06
