epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,0.849885,0.770273,0.322744,0.986222,0.00099999,172.4,9.529,12.875,50,64,10.4,15.69
2,0.360691,0.973241,0.306635,0.992222,0.00099988,172.0,9.529,12.875,60,62,10.3,15.61
3,0.342352,0.979549,0.301707,0.993778,0.00099964,172.9,9.529,12.877,60,61,10.7,15.74
4,0.332654,0.982810,0.297819,0.994778,0.00099928,172.0,9.529,12.877,57,62,10.4,15.75
5,0.328071,0.984470,0.292722,0.996111,0.00099879,171.9,9.531,12.877,45,65,10.4,15.79
6,0.323761,0.986021,0.291656,0.997333,0.00099818,171.9,9.529,12.877,57,61,10.2,15.68
7,0.321077,0.987139,0.296064,0.995556,0.00099745,172.0,9.529,12.877,53,64,10.4,15.78
8,0.319526,0.987722,0.293816,0.996667,0.00099659,171.8,9.529,12.877,46,64,10.3,15.85
9,0.317008,0.988416,0.290293,0.998000,0.00099561,172.1,9.529,12.877,44,65,10.2,15.73
10,0.315711,0.989067,0.291678,0.996889,0.00099451,172.2,9.530,12.877,44,65,10.6,15.81
11,0.314125,0.989584,0.290452,0.997889,0.00099328,172.0,9.529,12.877,56,64,10.4,15.81
12,0.312848,0.990133,0.293018,0.997000,0.00099193,171.9,9.527,12.877,57,64,10.3,15.66
13,0.311990,0.990477,0.291397,0.997222,0.00099046,171.8,9.530,12.877,59,65,10.1,15.73
14,0.311044,0.990650,0.290962,0.997667,0.00098887,172.1,9.528,12.877,54,62,10.4,15.69
15,0.310527,0.990964,0.289249,0.998111,0.00098716,172.4,9.528,12.877,56,65,10.3,15.71
16,0.309935,0.991208,0.289447,0.997889,0.00098532,177.6,9.531,12.877,60,65,10.3,15.71
17,0.309060,0.991361,0.289697,0.997556,0.00098337,170.4,9.529,12.877,56,65,9.8,15.73
18,0.307742,0.991873,0.289225,0.998444,0.00098130,165.9,9.530,12.877,55,62,9.2,15.71
19,0.307116,0.992158,0.288197,0.998556,0.00097910,165.9,9.530,12.877,46,65,9.7,15.83
20,0.306945,0.992260,0.288708,0.998222,0.00097679,165.9,9.529,12.877,62,62,9.1,15.77
21,0.306186,0.992442,0.288360,0.998333,0.00097436,166.1,9.529,12.877,55,62,9.1,15.8
22,0.305420,0.992720,0.287184,0.998444,0.00097181,165.9,9.527,12.877,65,62,9.1,15.8
23,0.304860,0.993034,0.290460,0.997444,0.00096914,165.8,9.528,12.877,46,66,9.0,15.8
24,0.304999,0.992863,0.288032,0.998111,0.00096636,165.6,9.530,12.877,51,66,9.1,15.8
25,0.304390,0.993175,0.286947,0.998889,0.00096346,165.8,9.530,12.877,46,66,9.0,15.76
26,0.303984,0.993214,0.288457,0.998667,0.00096045,165.9,9.530,12.877,65,63,8.9,15.79
27,0.303388,0.993524,0.288193,0.997778,0.00095732,165.8,9.528,12.877,57,62,9.0,15.76
28,0.303603,0.993348,0.286593,0.998444,0.00095408,166.0,9.528,12.877,42,64,9.3,15.81
29,0.303109,0.993626,0.287290,0.998222,0.00095073,166.4,9.529,12.877,42,64,9.2,15.79
30,0.302374,0.993872,0.287111,0.998444,0.00094726,165.9,9.530,12.877,56,65,9.1,15.8
31,0.302353,0.993888,0.285923,0.998667,0.00094368,165.6,9.530,12.877,46,66,9.1,15.83
32,0.301818,0.993895,0.287361,0.998333,0.00094000,165.7,9.528,12.877,54,66,9.0,15.8
33,0.302031,0.993963,0.285640,0.999000,0.00093620,165.7,9.528,12.877,42,64,9.1,15.6
34,0.301058,0.994287,0.287806,0.998111,0.00093230,165.6,9.529,12.877,58,62,9.2,15.67
35,0.300660,0.994325,0.286402,0.998444,0.00092829,165.8,9.529,12.877,46,65,9.1,15.62
36,0.301322,0.994298,0.285329,0.999000,0.00092417,165.7,9.529,12.877,62,66,9.0,15.62
37,0.301135,0.994225,0.284442,0.999000,0.00091995,165.7,9.530,12.877,54,62,9.2,15.63
38,0.300455,0.994471,0.285883,0.998778,0.00091562,165.8,9.530,12.877,46,62,9.1,15.62
39,0.299890,0.994621,0.285102,0.998889,0.00091119,165.7,9.532,12.877,58,66,9.0,15.56
40,0.299597,0.994849,0.285960,0.998889,0.00090666,165.7,9.530,12.877,52,64,9.0,15.57
41,0.299609,0.994833,0.284907,0.998889,0.00090202,165.7,9.530,12.877,61,65,9.1,15.57
42,0.299416,0.994895,0.285056,0.999000,0.00089729,165.7,9.528,12.877,67,63,9.0,15.54
43,0.298910,0.994993,0.285237,0.998889,0.00089246,165.8,9.530,12.877,63,63,9.0,15.54
44,0.298736,0.995075,0.284598,0.999222,0.00088753,165.9,9.529,12.877,45,63,9.0,15.57
