epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,0.917704,0.770988,0.336102,0.987111,0.00100000,263.7,13.579,14.363,87,63,9.5,12.79
2,0.456291,0.945929,0.309806,0.992000,0.00100000,254.1,13.579,14.363,60,68,10.4,12.84
3,0.406496,0.961664,0.304634,0.993333,0.00100000,251.3,13.579,14.363,92,66,10.1,12.87
4,0.385615,0.968557,0.301218,0.994444,0.00100000,253.4,13.579,14.363,56,63,10.1,12.81
5,0.373738,0.972315,0.298321,0.995111,0.00100000,255.5,13.579,14.363,100,65,10.3,12.85
6,0.364403,0.975295,0.295657,0.996000,0.00100000,250.6,13.579,14.363,98,67,9.4,12.92
7,0.357063,0.977670,0.294501,0.996222,0.00100000,251.3,13.579,14.363,63,69,9.6,12.91
8,0.352044,0.979251,0.293356,0.996333,0.00100000,250.7,13.579,14.363,67,69,9.6,12.86
9,0.348035,0.980610,0.292556,0.996778,0.00100000,244.2,13.579,14.363,86,67,8.2,12.8
10,0.345203,0.981562,0.291789,0.996667,0.00100000,244.4,13.579,14.363,96,65,8.2,12.77
11,0.341869,0.982769,0.291396,0.997111,0.00100000,244.6,13.579,14.363,76,64,8.1,12.76
12,0.338802,0.983716,0.290825,0.997000,0.00100000,244.6,13.579,14.363,77,64,8.1,12.78
13,0.337282,0.984040,0.289760,0.997778,0.00100000,244.6,13.579,14.363,64,65,8.2,12.75
14,0.334103,0.985199,0.289273,0.997889,0.00100000,244.6,13.579,14.363,64,68,8.0,12.76
15,0.332775,0.985729,0.289637,0.997333,0.00100000,244.2,13.579,14.363,74,62,8.1,12.75
16,0.331297,0.986053,0.289452,0.997667,0.00100000,244.2,13.579,14.363,81,64,8.1,12.78
17,0.329044,0.986986,0.289083,0.997889,0.00100000,244.2,13.579,14.363,100,65,8.1,12.77
18,0.328407,0.987004,0.288713,0.998000,0.00100000,244.2,13.579,14.363,75,67,8.1,12.77
19,0.326272,0.987792,0.288556,0.998222,0.00100000,244.2,13.579,14.363,62,68,8.1,12.77
20,0.326258,0.987874,0.288284,0.998333,0.00100000,244.4,13.579,14.363,57,63,8.2,12.74
21,0.324005,0.988658,0.287803,0.998778,0.00100000,244.6,13.579,14.363,80,67,8.1,12.73
