epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,1.504433,0.492060,0.827584,0.806333,0.01000000,1034.1,11.691,14.363,83,60,7.1,15.21
2,0.929750,0.751093,0.478443,0.933000,0.01000000,1032.3,11.691,14.447,83,64,6.8,15.38
3,0.747887,0.826136,0.431989,0.948111,0.01000000,1031.5,11.691,14.447,84,63,6.6,15.39
4,0.642914,0.869472,0.412296,0.955667,0.01000000,1032.5,11.691,14.447,88,64,6.6,15.36
5,0.583820,0.893127,0.390275,0.968667,0.00999999,1032.1,11.691,14.447,84,63,6.6,15.5
6,0.547177,0.907605,0.357429,0.977556,0.00999999,1033.0,11.691,14.447,82,62,6.5,15.47
7,0.521943,0.918235,0.347596,0.981778,0.00999999,1032.6,11.691,14.447,84,63,6.5,15.5
8,0.504924,0.924982,0.359865,0.976778,0.00999998,1034.3,11.691,14.447,85,62,6.6,15.48
9,0.494691,0.929928,0.345593,0.982111,0.00999998,1031.3,11.691,14.447,83,62,6.6,15.58
10,0.483126,0.934494,0.349262,0.981111,0.00999998,1031.7,11.691,14.447,89,61,6.6,15.57
11,0.475028,0.937934,0.342801,0.984111,0.00999997,1032.7,11.691,14.447,82,62,6.5,15.56
12,0.470007,0.940740,0.366780,0.977333,0.00999996,1032.2,11.691,14.447,93,61,6.6,16.02
13,0.465474,0.942338,0.343439,0.984778,0.00999996,1031.1,11.691,14.447,82,62,6.6,15.46
14,0.461622,0.944244,0.336226,0.986000,0.00999995,1031.7,11.691,14.447,83,62,6.6,15.47
15,0.458075,0.945813,0.340836,0.985667,0.00999994,1032.7,11.691,14.447,100,61,6.5,15.43
16,0.458647,0.946036,0.344949,0.983556,0.00999994,1032.9,11.691,14.447,85,62,6.6,15.69
17,0.457630,0.946326,0.354481,0.983000,0.00999993,1058.3,11.691,14.447,100,60,6.9,16.46
18,0.455025,0.947512,0.463342,0.953889,0.00999992,1425.1,11.691,14.447,93,60,9.3,16.96
19,0.455200,0.947271,0.331764,0.988778,0.00999991,1353.9,11.691,14.447,100,60,9.2,17.02
20,0.453850,0.947826,0.337513,0.985556,0.00999990,1356.8,11.691,14.447,95,60,9.2,17.1
21,0.454425,0.947765,0.348447,0.982000,0.00999989,1252.8,11.691,14.447,82,59,8.8,17.4
22,0.452730,0.948159,0.339343,0.985222,0.00999988,1259.1,11.691,14.447,83,63,8.6,17.42
23,0.450252,0.949163,0.341509,0.984667,0.00999987,1257.4,11.691,14.447,81,61,7.9,17.69
24,0.450319,0.948669,0.365428,0.976556,0.00999986,1211.1,11.691,14.447,96,61,7.8,17.58
25,0.449069,0.949322,0.339266,0.985000,0.00999985,1297.4,11.691,14.447,83,61,8.1,17.93
26,0.449033,0.949457,0.329933,0.988889,0.00999983,1199.8,11.691,14.447,100,61,7.6,17.9
27,0.447371,0.949794,0.327452,0.989778,0.00999982,1208.9,11.691,14.447,93,64,7.6,17.95
28,0.448860,0.949388,0.337881,0.985667,0.00999981,1220.5,11.691,14.447,82,63,7.7,17.89
29,0.446823,0.950008,0.331795,0.987667,0.00999979,1141.3,11.691,14.447,77,64,7.4,17.27
30,0.445684,0.950372,0.336451,0.987111,0.00999978,961.0,11.691,14.447,86,63,6.8,17.29
31,0.446143,0.949949,0.331612,0.987333,0.00999976,960.7,11.691,14.447,87,64,6.6,17.28
32,0.445321,0.950021,0.395766,0.968222,0.00999975,961.4,11.691,14.447,93,64,6.6,17.33
33,0.445136,0.950657,0.332233,0.987889,0.00999973,960.6,11.691,14.447,81,65,6.6,17.51
