epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
53,0.316292,0.993537,0.288475,0.999111,0.00003000,347.4,7.849,7.939,88,67,8.8,17.82
54,0.316205,0.993369,0.287672,0.999333,0.00003000,374.3,7.849,7.939,80,62,9.2,17.92
55,0.315696,0.993490,0.289478,0.999333,0.00003000,363.8,7.849,7.939,76,63,8.9,17.93
56,0.315492,0.993613,0.292101,0.997778,0.00003000,365.3,7.849,7.939,86,66,9.0,18.04
57,0.315165,0.993663,0.287690,0.999444,0.00003000,374.6,7.849,7.939,66,65,9.3,18.06
58,0.314993,0.993752,0.289334,0.998889,0.00003000,383.2,7.849,7.939,67,64,9.0,18.13
59,0.314719,0.993799,0.290219,0.998667,0.00003000,383.0,7.849,7.939,75,65,9.2,18.12
60,0.314872,0.993667,0.288518,0.999333,0.00003000,382.9,7.849,7.939,82,64,9.2,18.21
61,0.314132,0.994000,0.288704,0.999111,0.00003000,382.8,7.849,7.939,68,65,9.0,18.17
62,0.313336,0.994273,0.288229,0.999556,0.00003000,383.4,7.849,7.939,67,64,9.2,18.02
63,0.313576,0.994125,0.287705,0.999444,0.00003000,383.5,7.849,7.939,70,65,9.0,17.99
64,0.313164,0.994262,0.288891,0.998778,0.00003000,383.3,7.849,7.939,76,64,9.1,18.03
65,0.313252,0.994248,0.287275,0.999667,0.00003000,382.4,7.849,7.939,71,64,9.1,18.11
66,0.312840,0.994364,0.287818,0.999333,0.00003000,349.8,7.849,7.939,64,66,8.8,17.58
67,0.313303,0.994173,0.288407,0.999333,0.00003000,349.1,7.849,7.939,82,65,8.7,17.57
68,0.312613,0.994394,0.287986,0.999556,0.00003000,360.5,7.849,7.939,66,64,8.9,17.61
69,0.311947,0.994553,0.286417,0.999667,0.00003000,366.0,7.849,7.939,80,63,9.2,17.9
70,0.312040,0.994519,0.286919,0.999556,0.00003000,359.9,7.849,7.939,80,64,9.2,18.01
71,0.312002,0.994656,0.286275,0.999778,0.00003000,368.8,7.849,7.939,82,66,9.1,18.06
72,0.311662,0.994692,0.288062,0.999444,0.00003000,368.1,7.849,7.939,83,63,9.2,18.07
73,0.311416,0.994806,0.286746,0.999667,0.00003000,368.1,7.849,7.939,80,63,9.0,18.18
74,0.311254,0.994915,0.288722,0.998778,0.00003000,365.2,7.849,7.939,68,66,9.1,18.2
75,0.311069,0.994945,0.286751,0.999556,0.00003000,362.6,7.849,7.939,75,63,9.0,18.31
76,0.310901,0.994915,0.287412,0.998889,0.00003000,347.2,7.849,7.939,82,68,8.7,17.7
77,0.310648,0.995002,0.287152,0.999667,0.00003000,360.3,7.849,7.939,83,65,11.5,19.69
78,0.310718,0.994913,0.287808,0.999333,0.00003000,342.6,7.849,7.939,82,66,9.6,19.86
79,0.311073,0.994769,0.286316,0.999667,0.00003000,342.6,7.849,7.939,72,64,9.6,20.01
80,0.310387,0.995095,0.286468,0.999556,0.00003000,342.2,7.849,7.939,70,66,9.2,18.8
81,0.310256,0.995150,0.286240,0.999667,0.00003000,342.8,7.849,7.939,84,64,9.5,18.85
