epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,vram_peak_alloc_gb,vram_peak_reserved_gb,cuda_util_pct,gpu_temp_c,cpu_pct,ram_used_gb
1,1.389464,0.595405,0.498008,0.944111,0.00003000,104.8,14.003,14.447,99,65,11.4,12.63
2,0.585511,0.909220,0.368914,0.983778,0.00003000,95.4,14.003,14.447,29,60,11.7,12.74
3,0.434886,0.958269,0.331763,0.989556,0.00003000,96.0,14.003,14.447,93,61,12.4,12.74
4,0.393059,0.970249,0.319852,0.991000,0.00003000,94.8,14.003,14.447,26,63,11.7,12.65
5,0.372639,0.975794,0.310946,0.991444,0.00003000,94.6,14.003,14.447,36,65,12.0,12.66
6,0.361787,0.978880,0.307344,0.993333,0.00003000,94.8,14.003,14.447,95,63,12.3,12.67
7,0.353312,0.981205,0.310163,0.991778,0.00003000,94.4,14.003,14.447,14,63,11.7,12.67
8,0.347063,0.983026,0.301808,0.994222,0.00003000,95.2,14.003,14.447,98,62,12.4,12.68
9,0.343040,0.983926,0.301025,0.994111,0.00003000,95.3,14.003,14.447,31,66,11.9,12.7
10,0.339560,0.985146,0.300132,0.995111,0.00003000,93.6,14.003,14.447,29,66,11.2,12.69
11,0.336035,0.986078,0.296441,0.996000,0.00003000,93.4,14.003,14.447,71,64,11.3,12.68
12,0.334020,0.986815,0.297400,0.994778,0.00003000,93.5,14.003,14.447,71,68,11.3,12.67
13,0.331296,0.987389,0.296141,0.996000,0.00003000,94.2,14.003,14.447,33,66,12.0,12.67
14,0.329316,0.988077,0.295755,0.996222,0.00003000,93.9,14.003,14.447,65,63,11.2,12.64
15,0.327877,0.988510,0.295387,0.996333,0.00003000,93.7,14.003,14.447,76,69,11.1,12.54
16,0.326062,0.988890,0.294711,0.996444,0.00003000,93.7,14.003,14.447,26,72,11.3,12.56
17,0.324331,0.989434,0.293091,0.997000,0.00003000,94.8,14.003,14.447,41,68,12.9,12.61
18,0.323147,0.989669,0.293544,0.996889,0.00003000,98.2,14.003,14.447,58,67,13.0,12.84
19,0.321137,0.990516,0.293897,0.996778,0.00003000,97.8,14.003,14.447,99,63,12.7,12.81
20,0.320725,0.990454,0.293885,0.996111,0.00003000,95.7,14.003,14.447,38,62,12.2,12.82
21,0.319338,0.990823,0.291117,0.997667,0.00003000,93.7,14.003,14.447,78,62,12.2,12.76
22,0.318290,0.991335,0.293701,0.997111,0.00003000,98.7,14.003,14.447,76,61,12.3,12.78
23,0.317845,0.991452,0.290646,0.997667,0.00003000,96.6,14.003,14.447,12,62,12.3,12.8
24,0.316354,0.991834,0.292989,0.997000,0.00003000,97.4,14.003,14.447,26,66,12.4,12.8
25,0.315311,0.992194,0.291304,0.997333,0.00003000,98.6,14.003,14.447,100,66,12.4,12.83
26,0.314827,0.992180,0.291598,0.997333,0.00003000,101.6,14.003,14.447,45,62,13.5,13.3
27,0.313768,0.992577,0.293480,0.996333,0.00003000,97.0,14.003,14.447,28,66,13.0,13.2
28,0.313088,0.992822,0.290298,0.997556,0.00003000,98.0,14.003,14.447,59,61,13.1,13.2
29,0.312465,0.992923,0.291749,0.996889,0.00003000,97.0,14.003,14.447,23,69,12.7,13.2
30,0.311310,0.993312,0.288616,0.998111,0.00003000,97.7,14.003,14.447,57,61,12.7,13.21
31,0.311130,0.993253,0.290427,0.997778,0.00003000,98.5,14.003,14.447,90,65,13.0,13.23
32,0.310651,0.993649,0.288743,0.998222,0.00003000,96.2,14.003,14.447,30,68,12.7,12.96
33,0.309734,0.993820,0.289808,0.997667,0.00003000,97.0,14.003,14.447,100,62,13.4,13.12
34,0.309181,0.993954,0.288240,0.998222,0.00003000,95.0,14.003,14.447,42,68,12.6,13.13
35,0.308718,0.994093,0.289282,0.997889,0.00003000,97.9,14.003,14.447,33,67,12.6,13.11
36,0.308047,0.994407,0.287621,0.998667,0.00003000,94.9,14.003,14.447,92,66,12.6,13.14
37,0.308019,0.994282,0.287287,0.998444,0.00003000,94.9,14.003,14.447,99,66,12.7,13.16
38,0.307527,0.994389,0.289211,0.998333,0.00003000,96.1,14.003,14.447,100,62,12.6,13.26
39,0.307034,0.994494,0.286969,0.998444,0.00003000,97.4,14.003,14.447,90,65,13.5,12.87
40,0.306624,0.994642,0.287741,0.998111,0.00003000,97.4,14.003,14.447,77,64,12.9,12.9
41,0.305820,0.995029,0.288775,0.998333,0.00003000,98.2,14.003,14.447,20,69,13.0,12.89
42,0.305622,0.995006,0.287550,0.998556,0.00003000,98.6,14.003,14.447,33,62,12.9,12.91
43,0.305411,0.995077,0.286608,0.998778,0.00003000,98.3,14.003,14.447,31,67,13.0,12.92
44,0.304583,0.995277,0.286819,0.998667,0.00003000,93.4,14.003,14.447,60,62,11.3,12.37
45,0.304433,0.995380,0.287090,0.998333,0.00003000,93.6,14.003,14.447,39,67,11.4,12.43
46,0.304361,0.995343,0.287032,0.998444,0.00003000,93.6,14.003,14.447,22,66,11.2,12.41
47,0.303522,0.995619,0.287511,0.998222,0.00003000,93.5,14.003,14.447,33,61,11.5,12.43
48,0.303525,0.995578,0.287784,0.998556,0.00003000,93.5,14.003,14.447,54,61,11.1,12.41
49,0.303509,0.995712,0.287937,0.998333,0.00003000,93.5,14.003,14.447,62,67,11.2,12.39
50,0.303113,0.995817,0.285982,0.999111,0.00003000,93.5,14.003,14.447,55,61,11.2,12.4
51,0.302595,0.995892,0.286484,0.999000,0.00003000,93.5,14.003,14.447,96,61,10.9,12.37
52,0.302667,0.995833,0.285692,0.998778,0.00003000,93.3,14.003,14.447,83,65,11.0,12.37
53,0.302161,0.995958,0.285408,0.999111,0.00003000,93.4,14.003,14.447,73,61,11.2,12.38
54,0.301807,0.996181,0.285483,0.998889,0.00003000,93.5,14.003,14.447,26,72,11.2,12.36
55,0.301354,0.996347,0.287676,0.998333,0.00003000,93.6,14.003,14.447,64,62,11.2,12.34
56,0.301772,0.996186,0.285171,0.999333,0.00003000,93.7,14.003,14.447,15,62,11.1,12.33
57,0.301406,0.996240,0.285492,0.999000,0.00003000,93.8,14.003,14.447,59,64,11.0,12.33
58,0.300368,0.996618,0.287042,0.998667,0.00003000,93.4,14.003,14.447,45,61,11.1,12.34
59,0.300623,0.996532,0.287019,0.998444,0.00003000,93.3,14.003,14.447,40,67,11.2,12.32
60,0.300036,0.996719,0.286246,0.998778,0.00003000,93.3,14.003,14.447,37,61,11.3,12.31
61,0.300266,0.996650,0.284666,0.999556,0.00003000,93.4,14.003,14.447,50,66,11.2,12.31
62,0.300281,0.996657,0.285376,0.999333,0.00003000,93.7,14.003,14.447,90,60,11.1,12.32
63,0.299837,0.996780,0.284850,0.999333,0.00003000,93.7,14.003,14.447,70,61,11.0,12.32
64,0.299750,0.996817,0.285579,0.998889,0.00003000,93.5,14.003,14.447,16,65,11.0,12.33
65,0.299519,0.996817,0.286341,0.999222,0.00003000,93.5,14.003,14.447,17,61,11.0,12.34
66,0.299021,0.997031,0.285293,0.999111,0.00003000,93.6,14.003,14.447,77,61,11.1,12.32
67,0.298826,0.997015,0.285147,0.999556,0.00003000,93.5,14.003,14.447,76,61,11.2,12.33
68,0.299330,0.996851,0.284419,0.999444,0.00003000,94.1,14.003,14.447,34,67,11.1,12.33
69,0.298923,0.996974,0.284813,0.999111,0.00003000,93.7,14.003,14.447,69,64,11.1,12.32
